,clock,x,y,z
0,1588791233.9704008,-2911.53076174017,4041.617470856817,4963.087408364744
1,1588791234.9704008,-2920.0592143256454,4037.9948828031784,4964.357102969494
2,1588791235.9704008,-2928.584321904954,4034.367669118068,4965.621110769998
3,1588791236.9704008,-2937.106078078599,4030.735838593834,4966.8794360260035
4,1588791237.9704008,-2945.624476471126,4027.0994000206065,4968.132083007695
5,1588791238.9704008,-2954.139510731101,4023.4583621862357,4969.379055995633
6,1588791239.9704008,-2962.6511745310904,4019.8127338762347,4970.620359280698
7,1588791240.9704008,-2971.1594615676386,4016.1625238737233,4971.85599716402
8,1588791241.9704008,-2979.664365561245,4012.507740959367,4973.085973956926
9,1588791242.9704008,-2988.165880256345,4008.8483939113225,4974.310293980878
10,1588791243.9704008,-2996.663999421285,4005.184491505178,4975.528961567407
11,1588791244.9704008,-3005.158716848301,4001.5160425138984,4976.741981058061
12,1588791245.9704008,-3013.650026353496,3997.8430557077677,4977.949356804339
13,1588791246.9704008,-3022.1379217768163,3994.165539854332,4979.15109316763
14,1588791247.9704008,-3030.6223969820294,3990.4835037183434,4980.347194519157
15,1588791248.9704008,-3039.1034458566996,3986.796956061705,4981.537665239914
16,1588791249.9704008,-3047.5810623121647,3983.105905643413,4982.722509720606
17,1588791250.9704008,-3056.0552402835124,3979.410361219504,4983.901732361591
18,1588791251.9704008,-3064.5259737295555,3975.710331542998,4985.075337572818
19,1588791252.9704008,-3072.993256632808,3972.0058253638435,4986.24332977377
20,1588791253.9704008,-3081.4570829994605,3968.296851428862,4987.405713393399
21,1588791254.9704008,-3089.917446859355,3964.583418481695,4988.5624928700745
22,1588791255.9704008,-3098.374342265962,3960.8655352627497,4989.713672651518
23,1588791256.9704008,-3106.8277632963504,3957.1432105091435,4990.859257194744
24,1588791257.9704008,-3115.2777040511687,3953.416452954651,4991.999250966002
25,1588791258.9704008,-3123.724158654614,3949.685271329651,4993.133658440722
26,1588791259.9704008,-3132.1671212544074,3945.949674361073,4994.262484103445
27,1588791260.9704008,-3140.606586021771,3942.209670772342,4995.385732447775
28,1588791261.9704008,-3149.042547151397,3938.4652692833297,4996.503407976312
29,1588791262.9704008,-3157.474998861423,3934.7164786102976,4997.615515200597
30,1588791263.9704008,-3165.903935393407,3930.963307465848,4998.722058641055
31,1588791264.9704008,-3174.3293510123,3927.2057645588716,4999.8230428269335
32,1588791265.9704008,-3182.751240006415,3923.443858594493,5000.918472296243
33,1588791266.9704008,-3191.1695966874054,3919.677598274022,5002.008351595703
34,1588791267.9704008,-3199.5844153902335,3915.9069922949006,5003.092685280681
35,1588791268.9704008,-3207.9956904731444,3912.132049350653,5004.171477915135
36,1588791269.9704008,-3216.403416317638,3908.3527781308335,5005.244734071556
37,1588791270.9704008,-3224.8075873284392,3904.569187320977,5006.312458330908
38,1588791271.9704008,-3233.2081979334735,3900.781285602549,5007.374655282574
39,1588791272.9704008,-3241.6052425838343,3896.9890816528937,5008.4313295242955
40,1588791273.9704008,-3249.9987157537557,3893.1925841451857,5009.4824856621135
41,1588791274.9704008,-3258.3886119405843,3889.3918017483793,5010.528128310317
42,1588791275.9704008,-3266.77492566475,3885.5867431271604,5011.568262091379
43,1588791276.9704008,-3275.1576514697354,3881.7774169418954,5012.602891635905
44,1588791277.9704008,-3283.536783922049,3877.963831848586,5013.632021582571
45,1588791278.9704008,-3291.9123176111925,3874.1459964988157,5014.65565657807
46,1588791279.9704008,-3300.2842471496324,3870.3239195397045,5015.673801277054
47,1588791280.9704008,-3308.6525671727704,3866.4976096138603,5016.686460342076
48,1588791281.9704008,-3317.0172723389123,3862.6670753593307,5017.693638443536
49,1588791282.9704008,-3325.3783573292385,3858.8323254095544,5018.69534025962
50,1588791283.9704008,-3333.735816847773,3854.9933683933164,5019.691570476252
51,1588791284.9704008,-3342.0896456213527,3851.1502129346973,5020.682333787028
52,1588791285.9704008,-3350.4398383995963,3847.3028676530294,5021.667634893167
53,1588791286.9704008,-3358.7863899548743,3843.451341162848,5022.64747850345
54,1588791287.9704008,-3367.1292950822753,3839.5956420738466,5023.621869334166
55,1588791288.9704008,-3375.4685485995783,3835.735778990829,5024.59081210906
56,1588791289.9704008,-3383.804145347218,3831.871760513665,5025.554311559271
57,1588791290.9704008,-3392.1360801882533,3828.003595237242,5026.51237242328
58,1588791291.9704008,-3400.464348008338,3824.1312917514224,5027.464999446854
59,1588791292.9704008,-3408.7889437156855,3820.2548586409976,5028.41219738299
60,1588791293.9704008,-3417.1098622410386,3816.374304485642,5029.353970991861
61,1588791294.9704008,-3425.427098537636,3812.4896378598687,5030.290325040762
62,1588791295.9704008,-3433.740647581181,3808.600867332985,5031.221264304049
63,1588791296.9704008,-3442.050504369807,3804.7080014690496,5032.146793563093
64,1588791297.9704008,-3450.3566639240476,3800.8110488268258,5033.066917606218
65,1588791298.9704008,-3458.6591212867984,3796.9100179597385,5033.981641228653
66,1588791299.9704008,-3466.9578715232897,3793.0049174158326,5034.89096923247
67,1588791300.9704008,-3475.252909721049,3789.0957557377274,5035.794906426535
68,1588791301.9704008,-3483.54423098987,3785.1825414625746,5036.693457626453
69,1588791302.9704008,-3491.8318304617765,3781.265283122015,5037.586627654513
70,1588791303.9704008,-3500.1157032909914,3777.3439892421356,5038.474421339635
71,1588791304.9704008,-3508.3958446539004,3773.4186683434286,5039.356843517316
72,1588791305.9704008,-3516.67224974902,3769.4893289407482,5040.233899029572
73,1588791306.9704008,-3524.944913796961,3765.555979543267,5041.1055927248935
74,1588791307.9704008,-3533.2138320403956,3761.6186286544385,5041.971929458186
75,1588791308.9704008,-3541.4789997440225,3757.677284771952,5042.832914090717
76,1588791309.9704008,-3549.7404121945333,3753.7319563876936,5043.688551490063
77,1588791310.9704008,-3557.9980647005746,3749.7826519877026,5044.5388465300575
78,1588791311.9704008,-3566.251952592717,3745.8293800521346,5045.383804090738
79,1588791312.9704008,-3574.5020712234177,3741.8721490552175,5046.223429058293
80,1588791313.9704008,-3582.7484159669852,3737.910967465213,5047.057726325009
81,1588791314.9704008,-3590.990982219545,3733.9458437443773,5047.886700789219
82,1588791315.9704008,-3599.229765399003,3729.976786348918,5048.710357355248
83,1588791316.9704008,-3607.464760945012,3726.003803728958,5049.528700933364
84,1588791317.9704008,-3615.695964318933,3722.0269043284948,5050.341736439724
85,1588791318.9704008,-3623.923371003801,3718.046096585362,5051.14946879632
86,1588791319.9704008,-3632.14697650429,3714.0613889311903,5051.951902930933
87,1588791320.9704008,-3640.3667763466733,3710.0727897913666,5052.749043777074
88,1588791321.9704008,-3648.5827660787927,3706.0803075850004,5053.5408962739375
89,1588791322.9704008,-3656.794941270017,3702.08395072488,5054.327465366349
90,1588791323.9704008,-3665.003297511207,3698.0837276174393,5055.1087560047135
91,1588791324.9704008,-3673.207830414682,3694.0796466627176,5055.884773144965
92,1588791325.9704008,-3681.408535614179,3690.071716254323,5056.655521748513
93,1588791326.9704008,-3689.605408764817,3686.0599447793934,5057.421006782194
94,1588791327.9704008,-3697.798445543061,3682.044340618563,5058.181233218221
95,1588791328.9704008,-3705.987641646684,3678.0249121459224,5058.93620603413
96,1588791329.9704008,-3714.172992794731,3674.001667728983,5059.685930212734
97,1588791330.9704008,-3722.3544947274795,3669.9746157286418,5060.430410742069
98,1588791331.9704008,-3730.5321432064047,3665.9437644991435,5061.169652615345
99,1588791332.9704008,-3738.7059340141395,3661.909122388044,5061.903660830895
100,1588791333.9704008,-3746.8758629544386,3657.8706977361794,5062.632440392128
101,1588791334.9704008,-3755.0419258521406,3653.8284988776245,5063.355996307477
102,1588791335.9704008,-3763.2041185531293,3649.7825341396624,5064.074333590347
103,1588791336.9704008,-3771.3624369242957,3645.732811842746,5064.787457259072
104,1588791337.9704008,-3779.5168768535013,3641.6793403004654,5065.495372336859
105,1588791338.9704008,-3787.667434249538,3637.6221278195135,5066.198083851743
106,1588791339.9704008,-3795.8141050420913,3633.5611826996505,5066.895596836535
107,1588791340.9704008,-3803.9568851817016,3629.49651323367,5067.587916328777
108,1588791341.9704008,-3812.0957706397257,3625.4281277073665,5068.275047370688
109,1588791342.9704008,-3820.2307574082984,3621.3560343994995,5068.956995009122
110,1588791343.9704008,-3828.3618415002925,3617.2802415817623,5069.6337642955095
111,1588791344.9704008,-3836.489018949282,3613.200757518748,5070.305360285821
112,1588791345.9704008,-3844.6122858095023,3609.117590467916,5070.97178804051
113,1588791346.9704008,-3852.7316381558107,3605.0307486795605,5071.633052624468
114,1588791347.9704008,-3860.8470720836485,3600.940240396775,5072.289159106979
115,1588791348.9704008,-3868.9585837090012,3596.8460738554254,5072.940112561665
116,1588791349.9704008,-3877.066169168359,3592.7482572841122,5073.585918066446
117,1588791350.9704008,-3885.1698246186793,3588.646798904142,5074.226580703486
118,1588791351.9704008,-3893.269546237344,3584.541706929495,5074.862105559153
119,1588791352.9704008,-3901.3653302221232,3580.432989566794,5075.492497723962
120,1588791353.9704008,-3909.4571727911334,3576.3206550152718,5076.117762292536
121,1588791354.9704008,-3917.5450701828,3572.204711466742,5076.7379043635565
122,1588791355.9704008,-3925.629018655816,3568.0851671055675,5077.352929039716
